postcode,RA_quintile
800,3
810,3
812,3
815,3
820,3
822,5
828,3
829,3
830,3
832,3
834,3
835,3
836,3
837,3
838,3
839,3
840,4
841,3
845,4
846,4
847,4
850,4
852,5
853,4
854,5
860,5
862,5
870,4
872,5
873,4
874,4
875,4
880,5
885,5
886,4
2000,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2052,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,1
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2079,1
2080,1
2081,1
2082,1
2083,2
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,2
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2250,1
2251,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2267,1
2278,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2311,2
2312,2
2314,2
2315,2
2316,2
2317,2
2318,2
2319,2
2320,1
2321,1
2322,1
2323,1
2324,1
2325,2
2326,1
2327,1
2328,2
2329,3
2330,2
2331,2
2333,2
2334,2
2335,2
2336,2
2337,2
2338,3
2339,3
2340,2
2341,2
2342,3
2343,3
2344,2
2345,3
2346,3
2347,3
2350,2
2351,2
2352,2
2353,3
2354,3
2355,3
2356,4
2357,3
2358,2
2359,3
2360,3
2361,3
2365,3
2369,3
2370,3
2371,3
2372,3
2379,3
2380,3
2381,3
2382,3
2386,4
2387,4
2388,3
2390,3
2395,3
2396,4
2397,3
2398,3
2399,3
2400,3
2401,3
2402,3
2403,3
2404,3
2405,4
2406,4
2408,3
2409,3
2410,3
2411,3
2415,2
2420,2
2421,2
2422,2
2423,2
2424,2
2425,2
2426,2
2427,2
2428,2
2429,2
2430,2
2431,3
2439,2
2440,2
2441,3
2443,2
2444,2
2445,2
2446,2
2447,3
2448,3
2449,3
2450,2
2452,2
2453,3
2454,3
2455,3
2456,2
2460,2
2462,3
2463,2
2464,2
2465,2
2466,2
2469,3
2470,2
2471,2
2472,2
2473,2
2474,2
2475,3
2476,3
2477,2
2478,2
2479,2
2480,2
2481,2
2482,2
2483,2
2484,2
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2500,1
2502,1
2505,1
2506,1
2508,1
2515,1
2516,1
2517,1
2518,1
2519,1
2522,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2533,2
2534,2
2535,2
2536,2
2537,2
2538,2
2539,2
2540,2
2541,2
2545,3
2546,3
2548,3
2549,3
2550,3
2551,3
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2563,1
2564,1
2565,1
2566,1
2567,1
2568,1
2569,2
2570,1
2571,2
2572,2
2573,2
2574,2
2575,2
2576,2
2577,2
2578,2
2579,2
2580,2
2581,2
2582,2
2583,2
2584,2
2585,2
2586,2
2587,2
2588,2
2590,2
2594,2
2600,1
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,1
2609,1
2611,1
2612,1
2614,1
2615,1
2617,1
2618,2
2619,1
2620,1
2621,2
2622,2
2623,2
2625,3
2626,2
2627,3
2628,3
2629,3
2630,2
2631,3
2632,3
2633,3
2640,2
2641,2
2642,2
2643,2
2644,2
2645,3
2646,2
2647,2
2648,3
2649,3
2650,2
2651,2
2652,2
2653,3
2655,2
2656,3
2658,2
2659,2
2660,2
2661,2
2663,2
2665,3
2666,3
2668,3
2669,3
2671,3
2672,4
2675,4
2678,2
2680,3
2681,3
2700,3
2701,2
2702,3
2703,3
2705,3
2706,3
2707,3
2710,2
2711,3
2712,3
2713,2
2714,2
2715,3
2716,3
2717,3
2720,2
2721,3
2722,2
2725,3
2726,3
2727,3
2729,2
2730,3
2731,2
2732,3
2733,3
2734,3
2735,3
2736,3
2737,3
2738,3
2739,3
2745,1
2747,1
2748,1
2749,1
2750,1
2752,2
2753,1
2754,1
2755,1
2756,1
2757,2
2758,2
2759,1
2760,1
2761,1
2762,1
2763,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2773,1
2774,1
2775,2
2776,1
2777,1
2778,1
2779,1
2780,1
2782,1
2783,1
2784,1
2785,2
2786,2
2787,2
2790,2
2791,2
2792,3
2793,3
2794,2
2795,2
2797,3
2798,2
2799,2
2800,2
2803,3
2804,2
2805,3
2806,3
2807,3
2808,3
2809,3
2810,3
2817,3
2818,3
2820,3
2821,3
2822,3
2823,3
2824,3
2825,4
2826,4
2827,3
2828,3
2829,4
2830,2
2831,3
2832,4
2833,4
2834,4
2835,4
2836,5
2838,5
2839,5
2840,4
2842,3
2843,3
2844,3
2845,2
2846,2
2847,2
2848,2
2849,3
2850,2
2852,3
2864,3
2865,3
2866,2
2867,3
2868,3
2869,3
2870,3
2871,3
2873,4
2874,3
2875,3
2876,3
2877,3
2878,5
2879,5
2880,3
2898,5
2899,5
2900,1
2902,1
2903,1
2904,1
2905,1
2906,1
2911,1
2912,1
2913,1
2914,1
3000,1
3002,1
3003,1
3004,1
3006,1
3008,1
3010,1
3011,1
3012,1
3013,1
3015,1
3016,1
3018,1
3019,1
3020,1
3021,1
3022,1
3023,1
3024,1
3025,1
3026,1
3027,1
3028,1
3029,1
3030,1
3031,1
3032,1
3033,1
3034,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,1
3042,1
3043,1
3044,1
3045,1
3046,1
3047,1
3048,1
3049,1
3050,1
3051,1
3052,1
3053,1
3054,1
3055,1
3056,1
3057,1
3058,1
3059,1
3060,1
3061,1
3062,1
3063,1
3064,1
3065,1
3066,1
3067,1
3068,1
3070,1
3071,1
3072,1
3073,1
3074,1
3075,1
3076,1
3078,1
3079,1
3081,1
3082,1
3083,1
3084,1
3085,1
3086,1
3087,1
3088,1
3089,1
3090,1
3091,1
3093,1
3094,1
3095,1
3096,1
3097,1
3099,1
3101,1
3102,1
3103,1
3104,1
3105,1
3106,1
3107,1
3108,1
3109,1
3111,1
3113,1
3114,1
3115,1
3116,1
3121,1
3122,1
3123,1
3124,1
3125,1
3126,1
3127,1
3128,1
3129,1
3130,1
3131,1
3132,1
3133,1
3134,1
3135,1
3136,1
3137,1
3138,1
3139,2
3140,1
3141,1
3142,1
3143,1
3144,1
3145,1
3146,1
3147,1
3148,1
3149,1
3150,1
3151,1
3152,1
3153,1
3154,1
3155,1
3156,1
3158,1
3159,1
3160,1
3161,1
3162,1
3163,1
3165,1
3166,1
3167,1
3168,1
3169,1
3170,1
3171,1
3172,1
3173,1
