DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
801A,9.04,"47,003",9.84,"50,874",9.97,"48,714",10.28,"51,670",9.84,"52,477",24788.02,25322.82,27190.48,27317.91,28714.8,0.15,1.77,0.14,1.58,0.13,1.42,0.18,1.29,0.13,1.47
801B,3.87,"20,121",4.14,"21,425",4.34,"21,214",4.19,"21,077",4.27,"22,805",11826.11,12428.45,14594.08,14356.59,15420.61,0.18,1.31,0.17,0.85,0.18,0.92,0.15,1,0.21,0.95
801C,1.05,"5,480",1.56,"8,053",1.69,"8,276",1.73,"8,682",1.83,"9,752",4241.02,4092.92,5933.6,5867.12,6560.32,0.3,1.15,0.13,0.8,0.18,0.84,0.22,1,0.22,1
960Z,1.69,"8,792",3.16,"16,316",1.21,"5,905",0.72,"3,645",1.38,"7,347",1447.92,685.17,2935.11,3187.11,3824.94,,,,,,,,,,
961Z,0.65,"3,363",1.30,"6,709",0.66,"3,207",0.39,"1,968",0.30,"1,621",2226.92,1380.47,9265.23,2697.25,3413.98,,,,,,,,,,
963Z,1.05,"5,456",0.39,"2,010",,,0.89,"4,480",0.39,"2,095",0,,,,,,,,,,,,,,
A01Z,28.17,"146,458",,,,,,,,,,,,,,0.11,1.1,0.1,1.11,0.12,1.06,,,,
A03Z,31.99,"166,309",,,,,,,,,,,,,,0.11,1,0.1,1,0.12,1,,,,
A05Z,32.69,"169,953",,,,,,,,,,,,,,0.11,1,0.1,1,0.12,1,,,,
A06A,43.03,"223,719",,,,,,,,,122701.19,120643,,,,0.1,1,0.09,1.19,0.12,1.16,,,,
A06B,25.04,"130,159",,,,,,,,,81329.87,85845.76,,,,0.14,1.38,0.12,1,0.12,1.07,,,,
A06C,14.42,"74,993",,,,,,,,,57391.44,58399.03,,,,0.11,1.24,0.11,1,0.15,1.05,,,,
A07A,29.39,"152,812",,,,,,,,,,,,,,0.07,1,0.06,2,0.06,1.98,,,,
A07B,10.44,"54,293",,,,,,,,,,,,,,0.05,1,0.06,1,0.05,1,,,,
