2011_SLA,IRSD_decile,
105051100,4,
105054800,9,
105055200,7,
105057201,4,
105057204,8,
105057205,6,
105057206,7,
105106550,8,
105108050,9,
105108500,10,
105154150,6,
105154450,7,
105156650,5,
105157151,9,
105157152,9,
105200351,1,
105200353,2,
105200355,6,
105201550,2,
105252851,1,
105252854,2,
105254901,2,
105254904,6,
105301450,8,
105301501,2,
105301504,3,
105308400,7,
105350150,6,
105351300,5,
105351521,9,
105351524,9,
105357100,7,
105400200,2,
105403950,4,
105406251,5,
105406252,7,
105406253,7,
105406254,1,
105450900,8,
105453800,7,
105456351,4,
105456354,6,
105530751,8,
105530752,3,
105530753,1,
105554100,10,
105554700,10,
105555350,10,
105555950,10,
105556700,8,
105558250,9,
105604001,10,
105604004,9,
105604500,10,
105607421,10,
105607423,10,
105607425,10,
105655150,10,
105656370,10,
105658000,9,
105703101,8,
105703104,5,
105708551,3,
105708554,3,
110051720,2,
110054651,5,
110054653,6,
110054655,4,
110055050,5,
110055903,6,
110055904,4,
110055905,6,
110056400,4,
110102700,5,
110103050,3,
110103320,2,
110105650,4,
110107000,6,
110107620,5,
115054400,8,
115056900,4,
115058451,5,
115058454,4,
115076951,2,
115106952,3,
115108350,7,
120057554,3,
120057556,5,
120074851,3,
120100250,5,
120101350,4,
120104550,2,
120104854,4,
120106611,1,
120106612,2,
120107558,3,
125011801,3,
125036381,4,
125050600,3,
125051736,2,
125051737,2,
125051738,1,
125051804,4,
125055700,1,
125103380,2,
125104350,1,
125106385,3,
125108859,7,
130057311,3,
130103550,3,
130103660,2,
130104201,3,
130104920,2,
130107314,3,
130150111,4,
130150112,10,
130153010,2,
130153650,2,
130154202,2,
130157400,2,
130157650,5,
130157850,4,
130205300,2,
130205750,3,
135012601,4,
135052604,7,
135052950,2,
135055271,4,
135055850,2,
135058020,2,
135058150,1,
135100950,3,
135102150,1,
135107900,1,
135107950,2,
135151150,2,
135151200,1,
135151750,3,
140030471,5,
140070473,7,
140070850,5,
140071400,6,
140074870,2,
140075274,2,
140076100,4,
140150800,4,
140152350,2,
140152900,3,
140154600,2,
140156200,3,
140158100,3,
140206150,4,
145056181,10,
145056470,8,
145101050,4,
145103311,2,
145103314,6,
145103700,2,
145106184,7,
145107640,6,
145108710,9,
145108750,3,
145150550,4,
145152750,3,
145201000,3,
145202050,5,
145207050,8,
150057751,5,
150102000,4,
150102200,2,
150103500,3,
150104300,2,
150104950,6,
150105800,2,
150107350,3,
150107500,3,
150107754,8,
150151600,4,
150153450,4,
150153850,2,
150154750,3,
150155550,2,
155050050,4,
155053341,8,
155102300,4,
155103342,3,
155107450,3,
155107700,2,
155150650,3,
155151860,8,
155152500,2,
155154250,5,
155155500,5,
155157800,4,
155200300,3,
155208200,3,
160101250,1,
160101700,1,
160108809,6,
205054601,6,
205054605,10,
205054608,6,
205055901,9,
205055902,9,
205056351,9,
205057351,7,
205057352,6,
205101181,3,
205101182,1,
205103111,4,
205103112,8,
205104330,4,
205105063,7,
205105065,7,
205204651,8,
205204654,3,
205207261,5,
205207264,10,
205207267,5,
205255251,7,
205255252,6,
205255253,3,
205300661,8,
205300662,8,
205301891,8,
205301892,3,
205353271,1,
205353274,5,
205353275,8,
205405713,10,
205405715,10,
205405718,9,
205407071,8,
205407075,6,
205407076,2,
205451111,10,
205451112,10,
205451113,10,
205451114,10,
205504211,10,
205504214,9,
205504971,6,
205504974,9,
205504975,8,
205506981,8,
205506984,9,
205506985,8,
205553672,7,
205553673,8,
205553674,10,
205554411,8,
205554412,8,
205607451,4,
205607452,9,
205607453,8,
205607454,6,
205607456,8,
205650911,10,
205650912,9,
205652311,9,
205652314,9,
205653431,7,
205653434,8,
205656352,10,
205752671,1,
205752674,1,
205801452,8,
205801453,6,
205801454,5,
205801612,8,
205801613,4,
205801616,4,
205801618,8,
205852171,7,
205852174,4,
205905341,6,
205905344,5,
205905345,9,
210052751,4,
210052752,2,
210052753,5,
210052754,6,
210052755,9,
210052756,7,
210102757,7,
210106080,8,
210106493,9,
210106495,7,
210151751,2,
210151754,6,
210151755,5,
210152491,6,
210152492,8,
210152758,8,
215016730,5,
215051831,4,
215051832,6,
215055491,5,
215055493,6,
215055496,7,
215102411,5,
215102412,4,
215102413,3,
215106261,4,
215106264,4,
215106265,8,
220050571,4,
220050572,5,
220050573,6,
220050574,4,
220102911,5,
220102912,4,
220105151,6,
220105154,6,
220105155,7,
220150260,3,
220155991,2,
220155994,3,
225053191,4,
225053194,8,
225055811,2,
225055814,2,
225056890,5,
225102980,3,
225107631,4,
225107632,3,
230054781,2,
230101271,3,
230101272,4,
230104782,5,
230152250,3,
230156611,3,
230156614,1,
230156616,5,
235052621,2,
235052622,1,
235052623,6,
235052624,6,
235052625,5,
235052626,9,
235101671,1,
235101674,2,
235102628,5,
235103943,4,
235103945,2,
235105431,4,
235105434,5,
235204131,6,
235204134,8,
235204135,9,
240052831,2,
240101371,3,
240101374,3,
240101375,5,
240101376,3,
240102834,8,
240102835,4,
240104901,4,
240104904,2,
240151011,2,
240151014,7,
240154250,6,
240156430,4,
240158249,7,
240204851,3,
240204854,6,
240205621,5,
240205622,6,
245053351,7,
245056671,6,
245057170,4,
245103352,4,
245106701,3,
245106704,7,
245106705,7,
245150111,6,
245150112,3,
245156672,5,
245158309,6,
250052111,3,
250052113,2,
250052115,7,
250052117,4,
250156811,3,
250156812,7,
250156813,4,
250156814,4,
250156815,4,
255050831,6,
255053811,1,
255053814,1,
255053815,5,
255053818,8,
255100834,6,
255100835,5,
255107458,1,
255200741,5,
255200744,4,
255206171,6,
255206174,5,
255206175,5,
255208529,5,
305011067,6,
305011143,9,
305011146,8,
305011187,3,
305011227,8,
305011274,9,
305011277,7,
305011304,8,
305011315,6,
305011378,9,
305011421,9,
305011427,10,
305011454,10,
305011481,10,
305011525,7,
305011528,6,
305011607,7,
305011631,6,
305031004,9,
305031007,9,
305031026,9,
305031031,10,
305031048,10,
305031132,10,
305031151,9,
305031162,8,
305031206,7,
305031241,10,
305031244,10,
305031255,10,
305031271,9,
305031293,9,
305031312,8,
305031345,7,
305031424,9,
305031446,7,
305031506,8,
305031522,10,
305031533,5,
305031536,7,
305031558,9,
305031574,10,
305031618,10,
305031623,8,
305031634,9,
305071018,10,
305071034,8,
305071037,8,
305071045,6,
305071053,10,
305071064,7,
305071072,8,
305071075,10,
305071078,6,
305071084,10,
305071121,9,
305071127,10,
305071135,4,
305071138,8,
305071167,2,
305071173,5,
305071176,7,
305071184,2,
305071203,8,
305071211,8,
305071217,9,
305071222,10,
305071236,7,
305071288,1,
305071296,9,
305071301,9,
305071306,10,
305071318,10,
305071323,10,
305071326,5,
305071353,10,
305071375,10,
305071383,9,
305071386,10,
305071408,10,
305071435,6,
305071442,8,
305071451,7,
305071465,9,
305071467,2,
305071473,10,
305071484,2,
305071487,9,
305071514,7,
305071517,10,
305071556,6,
305071567,10,
305071585,10,
305071593,8,
305071596,1,
305071604,9,
305071612,10,
305071653,2,
305091015,7,
305091042,10,
305091086,10,
305091097,10,
305091102,9,
305091108,10,
305091113,8,
305091116,6,
305091157,9,
305091195,8,
305091214,8,
305091247,8,
305091258,10,
305091282,7,
305091285,9,
305091391,7,
305091397,8,
305091432,10,
305091563,10,
305091645,8,
305091648,9,
305111001,1,
305111012,7,
305111023,3,
305111057,10,
305111091,10,
305111094,8,
305111123,10,
305111154,4,
305111198,8,
305111251,10,
305111265,6,
305111331,8,
305111337,7,
305111356,6,
305111364,8,
305111367,8,
305111372,8,
305111394,4,
305111402,7,
305111405,7,
305111413,5,
305111416,8,
305111456,9,
305111463,9,
305111492,6,
305111495,7,
305111498,3,
305111503,6,
305111511,6,
305111541,9,
305111547,5,
305111552,6,
305111571,8,
305111588,6,
305111601,10,
305111615,5,
305111626,9,
305111637,6,
305111642,4,
305205019,3,
305205021,7,
305205023,1,
305205025,4,
305205027,4,
305205028,7,
305205039,2,
305205056,2,
305253962,3,
305253965,4,
305253966,9,
305253971,4,
305253976,5,
305304595,1,
305304597,3,
305304601,5,
305304603,9,
305304605,9,
305304606,1,
305304607,5,
305304608,3,
305304611,7,
305304612,1,
305304615,8,
305304618,2,
305304623,2,
305304626,5,
305304627,3,
305304631,8,
305304634,9,
305304637,4,
305304642,8,
305304645,6,
305304651,8,
305304654,2,
305304655,9,
305304656,1,
305405013,10,
305405016,6,
305405033,10,
305405037,6,
305405043,9,
305405047,9,
305405051,4,
305405058,8,
305405067,5,
305405068,10,
305455035,4,
305455053,2,
305455063,4,
305455065,3,
305506251,6,
305506254,8,
305506257,6,
305506262,6,
305506264,9,
305506265,8,
305506267,10,
305506268,6,
305506271,9,
305506273,7,
305506276,9,
305506283,1,
307103508,3,
307103511,5,
307103514,7,
307103515,8,
307103517,8,
307103521,6,
307103523,7,
307103527,2,
307103533,7,
307103555,9,
307103562,7,
307103563,6,
307103573,4,
307103576,8,
307103585,3,
307103587,5,
307153502,7,
307153525,6,
307153531,3,
307153534,9,
307153535,5,
307153537,7,
307153543,8,
307153547,9,
307153552,6,
307153556,7,
307153564,5,
307153566,7,
307153567,5,
307153568,7,
307153572,8,
307153574,8,
307153578,7,
307153581,8,
307153582,8,
307153592,5,
307153593,7,
307203538,7,
309056713,8,
309056718,6,
309056721,5,
309056723,6,
309056728,7,
309056738,4,
309056744,6,
309056748,3,
