                                                   The FREQ Procedure

                                   Cumulative    Cumulative
seifa    Frequency    Percent     Frequency      Percent
--------------------------------------------------------------
2                2     13.33            2        13.33
3                3     20.00            5        33.33
4                5     33.33           10        66.67
5                5     33.33           15       100.00

aihw_baby_ppn  SLA_2011_CODE  IRSD_decile  seifa
-------------  -------------  -----------  -----
         1001      105051100            4      2
         1002      105054800            9      5
         1003      105055200            7      4
         1004      105057201            4      2
         1005      105057204            8      4
         1006      105057205            6      3
         1007      105057206            7      4
         1008      105106550            8      4
         1009      105108050            9      5
         1010      105108500           10      5
         1011      105154150            6      3
         1012      105154450            7      4
         1013      105156650            5      3
         1014      105157151            9      5
         1015      105157152            9      5

